model,scenario,region,variable,unit,subannual,2019,2020,2022,2025,2030,2035,2040,2045,2050
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Lifestyle and Behavioral Change|Prices 2023_10,EU27,Capacity|Commercial|Heat Pumps,GW,Year,13.533572494907958,15.073060610331591,19.52733689383604,49.81536297654384,100.29540644772352,196.57575456483755,292.8561026819516,340.7441797786869,388.6322568754222
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Lifestyle and Behavioral Change|Prices 2023_10,EU27,Capacity|Residential and Commercial|Heat Pumps,GW,Year,126.72221691776645,132.4656674033031,147.71054350957274,241.0375601404812,396.582587858662,704.8598636297975,1013.1371394009328,1170.7938824852172,1328.4506255695014
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Lifestyle and Behavioral Change|Prices 2023_10,EU27,Capacity|Residential|Heat Pumps,GW,Year,113.1886453252924,117.3926059656803,128.18320736122345,191.22219839650933,296.2871834553191,508.28411033756953,720.28103721982,830.0497072145644,939.8183772093088
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Lifestyle and Behavioral Change|Prices 2023_10,EU27,Final Energy|Commercial|Electricity,EJ/yr,Year,2.4308815667537287,2.457329540113744,2.448617591194876,2.4241695759907818,2.3834228839839584,2.4818884746370107,2.580354065290063,2.603764344864127,2.6271746244381915
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Lifestyle and Behavioral Change|Prices 2023_10,EU27,Final Energy|Commercial|Gases|Fossil,EJ/yr,Year,2.0480281723280305,2.104907827154967,2.074597345181637,1.8172587135637344,1.3883609942005648,0.9722385729500648,0.5561161516995652,0.3847046760327203,0.2132932003658758
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Lifestyle and Behavioral Change|Prices 2023_10,EU27,Final Energy|Commercial|Heat,EJ/yr,Year,0.5067483856146271,0.5476860100529835,0.5461471391577095,0.5506613961992727,0.558185157935212,0.5835997730341648,0.6090143881331173,0.5928963972216921,0.5767784063102667
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Lifestyle and Behavioral Change|Prices 2023_10,EU27,Final Energy|Commercial|Liquids|Fossil,EJ/yr,Year,0.7751761384715777,0.8010003968665828,0.7865266431326731,0.6775919718875214,0.4960341864789355,0.326513967420395,0.1569937483618543,0.10409139973717,0.0511890511124863
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Lifestyle and Behavioral Change|Prices 2023_10,EU27,Final Energy|Commercial|Solar,EJ/yr,Year,0.0154667755541587,0.0452843964435475,0.0711808658033976,0.100976303998094,0.1506353676559214,0.1665474878177507,0.1824596079795795,0.1767808841641442,0.1711021603487086
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Lifestyle and Behavioral Change|Prices 2023_10,EU27,Final Energy|Commercial|Solids|Biomass,EJ/yr,Year,0.1214436547683125,0.1302113299321081,0.1307094258584117,0.1266269016427215,0.119822694616572,0.0925249165575068,0.0652271384984417,0.0462659175742677,0.0273046966500938
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Lifestyle and Behavioral Change|Prices 2023_10,EU27,Final Energy|Commercial|Solids|Fossil,EJ/yr,Year,0.0561148925053056,0.0625864199965768,0.0567251131340777,0.0466525388387322,0.0298649150131561,0.0153761489647813,0.0008873829164065,0.0004602732426049,3.316356880334048e-05
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Lifestyle and Behavioral Change|Prices 2023_10,EU27,Final Energy|Residential and Commercial|Gases|Fossil,EJ/yr,Year,6.212757174531361,6.341213324916878,6.2005987115499215,5.362045329296926,3.964456358875266,2.7547946193737105,1.5451328798721549,1.083421067069575,0.6217092542669949
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Lifestyle and Behavioral Change|Prices 2023_10,EU27,Final Energy|Residential and Commercial|Heat,EJ/yr,Year,1.4249549211526744,1.473628723531418,1.486713692811917,1.4986863860626431,1.5186408748138536,1.6158144190435435,1.7129879632732343,1.6982594123180648,1.6835308613628954
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Lifestyle and Behavioral Change|Prices 2023_10,EU27,Final Energy|Residential and Commercial|Liquids|Fossil,EJ/yr,Year,2.304251245834165,2.336355524399549,2.298816776718012,1.9807872882174693,1.4507381407165654,0.9663722052391664,0.4820062697617673,0.3284210387650986,0.1748358077684301
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Lifestyle and Behavioral Change|Prices 2023_10,EU27,Final Energy|Residential and Commercial|Solar,EJ/yr,Year,0.0943974135952871,0.1341509457106427,0.2136737603286733,0.3216469475482867,0.5016022595809758,0.5922442710725577,0.6828862825641399,0.6828159472497634,0.6827456119353869
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Lifestyle and Behavioral Change|Prices 2023_10,EU27,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,Year,1.8546409954014944,1.845496808058896,1.719517743700634,1.5202907770051286,1.1882458325126195,0.8499619148769838,0.5116779972413484,0.353650265946156,0.1956225346509643
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Lifestyle and Behavioral Change|Prices 2023_10,EU27,Final Energy|Residential and Commercial|Solids|Fossil,EJ/yr,Year,0.486013916354067,0.5752667825095149,0.5837195266421975,0.4710322942016762,0.2832202401341409,0.1452141958907294,0.0072081516473183,0.0037150945061869,0.0002220373650558
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Lifestyle and Behavioral Change|Prices 2023_10,EU27,Final Energy|Residential and Commercial|Space and Water Heating|Electricity,EJ/yr,Year,1.650827270742643,1.6844458344312234,1.6622512771872988,1.7123510642630273,1.7958507093892409,2.2256279196304822,2.6554051298717223,2.768548094054398,2.8816910582370725
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Lifestyle and Behavioral Change|Prices 2023_10,EU27,Final Energy|Residential and Commercial|Space and Water Heating|Gases|Fossil,EJ/yr,Year,6.212757174531361,6.341213324916878,6.2005987115499215,5.362045329296926,3.964456358875266,2.7547946193737105,1.5451328798721549,1.083421067069575,0.6217092542669949
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Lifestyle and Behavioral Change|Prices 2023_10,EU27,Final Energy|Residential and Commercial|Space and Water Heating|Heat,EJ/yr,Year,1.4249549211526744,1.473628723531418,1.486713692811917,1.4986863860626431,1.5186408748138536,1.6158144190435435,1.7129879632732343,1.6982594123180648,1.6835308613628954
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Lifestyle and Behavioral Change|Prices 2023_10,EU27,Final Energy|Residential and Commercial|Space and Water Heating|Liquids|Fossil,EJ/yr,Year,2.304251245834165,2.336355524399549,2.298816776718012,1.9807872882174693,1.4507381407165654,0.9663722052391664,0.4820062697617673,0.3284210387650986,0.1748358077684301
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Lifestyle and Behavioral Change|Prices 2023_10,EU27,Final Energy|Residential and Commercial|Space and Water Heating|Solar,EJ/yr,Year,0.0943974135952871,0.1341509457106427,0.2136737603286733,0.3216469475482867,0.5016022595809758,0.5922442710725577,0.6828862825641399,0.6828159472497634,0.6827456119353869
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Lifestyle and Behavioral Change|Prices 2023_10,EU27,Final Energy|Residential and Commercial|Space and Water Heating|Solids|Biomass,EJ/yr,Year,1.8546409954014944,1.845496808058896,1.719517743700634,1.5202907770051286,1.1882458325126195,0.8499619148769838,0.5116779972413484,0.353650265946156,0.1956225346509643
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Lifestyle and Behavioral Change|Prices 2023_10,EU27,Final Energy|Residential and Commercial|Space and Water Heating|Solids|Fossil,EJ/yr,Year,0.486013916354067,0.5752667825095149,0.5837195266421975,0.4710322942016762,0.2832202401341409,0.1452141958907294,0.0072081516473183,0.0037150945061869,0.0002220373650558
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Lifestyle and Behavioral Change|Prices 2023_10,EU27,Final Energy|Residential|Electricity,EJ/yr,Year,3.347859026192015,3.3609672486096662,3.3773936970513305,3.4421842012351167,3.550168374874761,3.905289197765221,4.260410020655681,4.363330807251356,4.466251593847031
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Lifestyle and Behavioral Change|Prices 2023_10,EU27,Final Energy|Residential|Gases|Fossil,EJ/yr,Year,4.164728938986626,4.236305421031594,4.126001443430957,3.544786647831204,2.5760953218316147,1.78255602615783,0.989016730484045,0.6987163880863416,0.4084160456886384
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Lifestyle and Behavioral Change|Prices 2023_10,EU27,Final Energy|Residential|Heat,EJ/yr,Year,0.9182065089557898,0.9259427020060672,0.9405665521117034,0.9480249840207748,0.960455703869228,1.032214635517447,1.103973567165666,1.1053630213864367,1.1067524756072078
Invert/EE-Lab 4.2,WP2 Building|High Electrification|Lifestyle and Behavioral Change|Prices 2023_10,EU27,Final Energy|Residential|Liquids|Fossil,EJ/yr,Year,1.5290750819767696,1.535355112835531,1.5122901030117637,1.3031952951041592,0.9547039485914852,0.639858235432256,0.3250125222730265,0.2243296387023278,0.1236467551316299
