model,scenario,region,variable,unit,subannual,2019,2020,2022,2025,2030,2035,2040,2045,2050
Invert/EE-Lab 4.2,WP2 Building|High H2/e-fuels|Efficiency Moderate|Prices 2023_10,EU27,Capacity|Commercial|Heat Pumps,GW,Year,13.533572494907958,15.066966782833331,19.528914392751176,50.74131882949587,102.76199289073702,182.1754129640467,261.5888330373564,327.8151490682212,394.04146509908605
Invert/EE-Lab 4.2,WP2 Building|High H2/e-fuels|Efficiency Moderate|Prices 2023_10,EU27,Capacity|Residential and Commercial|Heat Pumps,GW,Year,126.72221691776645,132.39628460770473,147.36933776829392,239.39920111227548,392.7823066855781,619.4303412644658,846.0783758433536,1026.9768623880227,1207.8753489326918
Invert/EE-Lab 4.2,WP2 Building|High H2/e-fuels|Efficiency Moderate|Prices 2023_10,EU27,Capacity|Residential|Heat Pumps,GW,Year,113.1886453252924,117.32931770910672,127.84042416991676,188.65788225835675,290.0203124057567,437.2549276785383,584.4895429513198,699.1617143314924,813.8338857116648
Invert/EE-Lab 4.2,WP2 Building|High H2/e-fuels|Efficiency Moderate|Prices 2023_10,EU27,Final Energy|Commercial|Electricity,EJ/yr,Year,2.4308815667537287,2.471365966923922,2.489561496849865,2.55091814446676,2.653179223828253,2.834536094771259,3.015892965714265,3.192444410629834,3.3689958555454043
Invert/EE-Lab 4.2,WP2 Building|High H2/e-fuels|Efficiency Moderate|Prices 2023_10,EU27,Final Energy|Commercial|Gases|Fossil,EJ/yr,Year,2.0480281723280305,2.112210213432688,2.089570591440421,1.9520273694376704,1.7227886660997531,1.3983406856389284,1.0738927051781038,0.8175696570997967,0.5612466090214894
Invert/EE-Lab 4.2,WP2 Building|High H2/e-fuels|Efficiency Moderate|Prices 2023_10,EU27,Final Energy|Commercial|Heat,EJ/yr,Year,0.5067483856146271,0.5489449876818057,0.5491172540064315,0.5751924006227098,0.618650978316508,0.6443189774214476,0.6699869765263873,0.6649483852073659,0.6599097938883447
Invert/EE-Lab 4.2,WP2 Building|High H2/e-fuels|Efficiency Moderate|Prices 2023_10,EU27,Final Energy|Commercial|Liquids|Fossil,EJ/yr,Year,0.7751761384715777,0.8029668484668933,0.792312037054215,0.6979873573582139,0.5407795578648787,0.3971074319379098,0.2534353060109411,0.1776801847263401,0.101925063441739
Invert/EE-Lab 4.2,WP2 Building|High H2/e-fuels|Efficiency Moderate|Prices 2023_10,EU27,Final Energy|Commercial|Solar,EJ/yr,Year,0.0154667755541587,0.0452462355124214,0.0716972880945818,0.1121537309263641,0.1795811356460025,0.2060581612404334,0.2325351868348649,0.2338277947574158,0.2351204026799666
Invert/EE-Lab 4.2,WP2 Building|High H2/e-fuels|Efficiency Moderate|Prices 2023_10,EU27,Final Energy|Commercial|Solids|Biomass,EJ/yr,Year,0.1214436547683125,0.1307032845681126,0.1315558898515678,0.1274663605327562,0.120650478334737,0.0940904328807821,0.0675303874268266,0.0471322823021959,0.0267341771775651
Invert/EE-Lab 4.2,WP2 Building|High H2/e-fuels|Efficiency Moderate|Prices 2023_10,EU27,Final Energy|Commercial|Solids|Fossil,EJ/yr,Year,0.0561148925053056,0.0626871000798551,0.0570149524632619,0.0482026539969536,0.0335154898864396,0.0172426444666355,0.0009697990468316,0.0004990593276228,2.831960841387371e-05
